,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balkon,ogrodek,taras,dzielnica
0,"Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, ul. Borowikowa",530000.0,6625.0,80.0,4.0,3.0,0,wtórny,1981,blok,nie,miejskie,3.0,1,0,0, Pustki Cisowskie-Demptowo
1,"Gdynia, Oksywie, ul. Benisławskiego",477037.0,10982.0,43.44,2.0,0.0,1,pierwotny,2023,,tak,,11.0,1,0,0, Oksywie
2,"Gdynia, Orłowo, Bernadowska",1600000.0,24375.0,65.64,3.0,0.0,0,wtórny,2018,,nie,,2.0,0,0,0, Orłowo
3,"Gdynia, Orłowo, Bernadowska",3399000.0,34571.0,98.32,4.0,1.0,1,wtórny,2020,,nie,,2.0,1,0,0, Orłowo
4,"Gdynia, Pogórze",522950.0,8900.0,58.76,3.0,1.0,1,wtórny,2022,apartamentowiec,tak,miejskie,3.0,1,0,0, Pogórze
5,"Gdynia, Redłowo",429000.0,15954.0,26.89,2.0,1.0,0,wtórny,1975,,nie,,4.0,0,0,0, Redłowo
6,"Gdynia, Wzgórze Św. Maksymiliana, Świętojańska",620000.0,13478.0,46.0,2.0,4.0,1,wtórny,1950,blok,nie,miejskie,4.0,1,0,0, Wzgórze Św. Maksymiliana
7,"Gdynia, Działki Leśne, Pomorska",335000.0,9088.0,36.86,1.0,0.0,1,wtórny,1965,blok,nie,miejskie,4.0,0,0,0, Działki Leśne
8,"Gdynia, Redłowo, ul. Bohaterów Getta Warszawskiego 23",579000.0,13786.0,42.0,2.0,6.0,0,wtórny,1970,blok,nie,gazowe,10.0,1,0,0, Redłowo
9,"Gdynia, Chwarzno-Wiczlino",877000.0,12897.0,68.0,3.0,1.0,1,wtórny,2021,apartamentowiec,tak,miejskie,3.0,1,0,0, Chwarzno-Wiczlino
10,"Gdynia, Grabówek",380000.0,8837.0,43.0,2.0,1.0,0,wtórny,1928,kamienica,nie,miejskie,3.0,1,0,0, Grabówek
11,"Gdynia, Oksywie",506999.0,8593.0,59.0,3.0,0.0,1,pierwotny,2022,blok,tak,miejskie,3.0,0,1,0, Oksywie
12,"Gdynia, Cisowa, ul. Chylońska",690000.0,10315.0,66.89,4.0,3.0,0,wtórny,,blok,nie,miejskie,4.0,1,0,0, Cisowa
13,"Gdynia, Wielki Kack, Lipowa",1589000.0,12646.0,125.65,4.0,3.0,1,wtórny,2007,blok,tak,miejskie,3.0,1,0,0, Wielki Kack
14,"Gdynia, Chylonia",780000.0,12000.0,65.0,3.0,10.0,1,wtórny,2019,apartamentowiec,tak,miejskie,11.0,0,0,1, Chylonia
15,"Gdynia, Orłowo, ul. Bytomska",949000.0,12553.0,75.6,3.0,3.0,1,wtórny,2008,kamienica,nie,gazowe,3.0,1,1,0, Orłowo
16,"Gdynia, Dąbrowa, Sojowa",369000.0,8892.0,41.5,2.0,3.0,0,wtórny,,,nie,,3.0,0,0,0, Dąbrowa
17,"Gdynia, Działki Leśne",347000.0,9060.0,38.3,2.0,,0,wtórny,,,nie,,,0,0,0, Działki Leśne
18,"Gdynia, Karwiny, Krzysztofa Kamila Baczyńskiego",459000.0,7516.0,61.07,3.0,3.0,0,wtórny,1988,blok,nie,miejskie,4.0,1,0,0, Karwiny
19,"Gdynia, Śródmieście, Antoniego Abrahama",1950000.0,21196.0,92.0,4.0,3.0,1,wtórny,1938,kamienica,tak,miejskie,6.0,1,0,0, Śródmieście
20,"Gdynia, Orłowo, Bernadowska",1799000.0,24644.0,73.0,3.0,1.0,1,wtórny,2017,apartamentowiec,tak,miejskie,2.0,1,0,1, Orłowo
21,"Gdynia, Działki Leśne, Pomorska",1740000.0,17755.0,98.0,4.0,3.0,1,wtórny,2021,apartamentowiec,tak,miejskie,3.0,0,0,1, Działki Leśne
22,"Gdynia, Orłowo, Świerkowa",1700000.0,22078.0,77.0,2.0,5.0,1,wtórny,2010,apartamentowiec,tak,inne,5.0,1,0,0, Orłowo
23,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",1595000.0,18765.0,85.0,4.0,0.0,1,wtórny,1954,kamienica,nie,gazowe,2.0,0,1,1, Redłowo
24,"Gdynia, Redłowo, Powstania Śląskiego",389000.0,15136.0,25.7,1.0,4.0,0,wtórny,1969,blok,nie,miejskie,4.0,0,0,0, Redłowo
25,"ul. Mała, Gdynia, pomorskie",,,159.05,5.0,1.0,1,pierwotny,2021,,nie,gazowe,,1,0,0, Gdynia
26,"ul. Mała, Gdynia, pomorskie",,,158.79,5.0,1.0,1,pierwotny,2021,,nie,gazowe,,1,0,0, Gdynia
27,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",1175658.0,14100.0,83.38,4.0,0.0,1,pierwotny,2022,apartamentowiec,tak,inne,2.0,1,0,0, Redłowo
28,"Gdynia, Śródmieście",1060000.0,14305.0,74.1,3.0,4.0,0,wtórny,1926,kamienica,nie,miejskie,5.0,1,0,0, Śródmieście
29,"Gdynia, Orłowo, Wrocławska",999271.0,13900.0,71.89,4.0,1.0,1,pierwotny,2021,apartamentowiec,tak,,3.0,1,0,0, Orłowo
30,"Gdynia, Chwarzno-Wiczlino, ul. Franciszka Sokoła 25",1199000.0,11860.0,101.1,4.0,0.0,0,wtórny,2000,apartamentowiec,nie,kotłownia,3.0,0,1,1, Chwarzno-Wiczlino
31,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",885385.0,11500.0,76.99,4.0,-0.5,1,pierwotny,2022,apartamentowiec,tak,inne,2.0,1,1,0, Redłowo
32,"Gdynia, Witomino, Małokacka",745000.0,11594.0,64.26,4.0,3.0,1,pierwotny,2021,apartamentowiec,tak,gazowe,3.0,1,0,0, Witomino
33,"Gdynia, Pogórze, Benisławskiego",680000.0,4564.0,149.0,4.0,2.0,1,wtórny,1993,kamienica,nie,gazowe,3.0,1,0,0, Pogórze
34,"Śląska, Gdynia, pomorskie",620000.0,9147.0,67.78,3.0,2.0,1,wtórny,1959,blok,nie,miejskie,4.0,0,0,0, Gdynia
35,"Gdynia, Obłuże, płk. Stanisława Dąbka",599000.0,8437.0,71.0,3.0,9.0,0,wtórny,1970,blok,tak,miejskie,9.0,1,0,0, Obłuże
36,"Gdynia, Chwarzno-Wiczlino, Władysława Kańskiego",549000.0,12200.0,45.0,2.0,0.0,0,wtórny,2009,apartamentowiec,tak,miejskie,3.0,1,0,0, Chwarzno-Wiczlino
